Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transcription_Factor_PPIs	FOXP3	9/350	4.348476e-05	3.348326e-03	0	0	6.004092e+00	6.029970e+01	SUZ12;IK;RBM19;ISG20L2;SAP18;IQGAP1;NUDT5;GTPBP4;WDR33
Transcription_Factor_PPIs	ESR1	11/871	2.788046e-03	9.704880e-02	0	0	2.899986e+00	1.705892e+01	MRPS17;TOP2B;PPP1CC;SNRPD1;ACAD9;FAF2;IQGAP1;MKI67;SEC11A;GTPBP4;CNDP2
Transcription_Factor_PPIs	BRCA1	7/418	3.781122e-03	9.704880e-02	0	0	3.772893e+00	2.104420e+01	PPP1CC;UBXN1;NUP188;PSMG1;PPP2R5C;MAN2C1;GPN1
Transcription_Factor_PPIs	POLR3A	2/27	7.253451e-03	1.270712e-01	0	0	1.710108e+01	8.424465e+01	POLR3B;GPN1
Transcription_Factor_PPIs	HCFC1	3/87	8.251379e-03	1.270712e-01	0	0	7.694488e+00	3.691334e+01	PPP1CC;OGT;SNRPB
Transcription_Factor_PPIs	MYC	10/957	1.538914e-02	1.721401e-01	0	0	2.355177e+00	9.830730e+00	SUZ12;IK;NUP188;TMEM33;CALD1;EHHADH;CPSF2;FAF2;MYO9B;IQGAP1
Transcription_Factor_PPIs	USF1	2/43	1.776644e-02	1.721401e-01	0	0	1.041909e+01	4.199357e+01	TOP2B;PPP1CC
Transcription_Factor_PPIs	SMARCB1	3/116	1.788468e-02	1.721401e-01	0	0	5.711427e+00	2.298170e+01	TOP2B;PPP1CC;SAP18
Transcription_Factor_PPIs	POU5F1	5/338	2.255159e-02	1.854098e-01	0	0	3.265265e+00	1.238172e+01	TOP2B;PPP1CC;CPSF2;OGT;WDR33
Transcription_Factor_PPIs	CREB1	3/134	2.603772e-02	1.854098e-01	0	0	4.922171e+00	1.795711e+01	SUZ12;PPP1CC;PPP2R5C
Transcription_Factor_PPIs	ATF2	4/237	2.648712e-02	1.854098e-01	0	0	3.711173e+00	1.347563e+01	SUZ12;ITGB1;CYCS;S100A10
Transcription_Factor_PPIs	CHD1	2/65	3.827002e-02	2.455660e-01	0	0	6.773169e+00	2.210145e+01	NUP188;RPF2
Transcription_Factor_PPIs	HDAC8	2/77	5.191453e-02	2.923542e-01	0	0	5.686022e+00	1.682014e+01	PPP1CC;SNRPD1
Transcription_Factor_PPIs	ILF3	4/297	5.315532e-02	2.923542e-01	0	0	2.942205e+00	8.634009e+00	MRPL20;LPCAT1;MRPL23;VAMP2
Transcription_Factor_PPIs	TP53	6/628	7.851832e-02	3.441234e-01	0	0	2.089996e+00	5.317835e+00	TOP2B;PPP1CC;ARL3;PPP2R5C;GTPBP4;WDR33
Transcription_Factor_PPIs	UPF1	2/98	7.916643e-02	3.441234e-01	0	0	4.437500e+00	1.125440e+01	EXOSC2;SNRPB
Transcription_Factor_PPIs	SIN3A	3/214	8.192628e-02	3.441234e-01	0	0	3.043581e+00	7.614844e+00	SAP18;OGT;S100A10
Transcription_Factor_PPIs	THAP1	1/18	8.216709e-02	3.441234e-01	0	0	1.244556e+01	3.110145e+01	OGT
Transcription_Factor_PPIs	MTF2	1/20	9.087381e-02	3.441234e-01	0	0	1.113438e+01	2.670340e+01	SUZ12
Transcription_Factor_PPIs	CCND1	2/108	9.340339e-02	3.441234e-01	0	0	4.016839e+00	9.523233e+00	ITGB1;PPP1CC
Transcription_Factor_PPIs	VDR	2/109	9.486573e-02	3.441234e-01	0	0	3.979098e+00	9.371940e+00	PPP1CC;HMGN3
Transcription_Factor_PPIs	SMARCC2	2/114	1.022752e-01	3.441234e-01	0	0	3.800499e+00	8.665474e+00	TOP2B;SAP18
Transcription_Factor_PPIs	POLR2A	3/239	1.052684e-01	3.441234e-01	0	0	2.717714e+00	6.118232e+00	WDHD1;CPSF2;GPN1
Transcription_Factor_PPIs	PHC1	1/25	1.122847e-01	3.441234e-01	0	0	8.812500e+00	1.927045e+01	PPP1CC
Transcription_Factor_PPIs	KDM5A	1/25	1.122847e-01	3.441234e-01	0	0	8.812500e+00	1.927045e+01	SUZ12
Transcription_Factor_PPIs	JARID2	1/26	1.165066e-01	3.441234e-01	0	0	8.459574e+00	1.818645e+01	SUZ12
Transcription_Factor_PPIs	HIF1A	2/126	1.206666e-01	3.441234e-01	0	0	3.430628e+00	7.254830e+00	UBXN1;FAF2
Transcription_Factor_PPIs	SETDB1	2/136	1.365641e-01	3.755513e-01	0	0	3.173006e+00	6.317332e+00	SUZ12;S100A10
Transcription_Factor_PPIs	NR0B1	1/33	1.455089e-01	3.863511e-01	0	0	6.606715e+00	1.273456e+01	OGT
Transcription_Factor_PPIs	RARG	1/40	1.735688e-01	3.888125e-01	0	0	5.418985e+00	9.489626e+00	SUZ12
Transcription_Factor_PPIs	PPARD	1/40	1.735688e-01	3.888125e-01	0	0	5.418985e+00	9.489626e+00	PSMG1
Transcription_Factor_PPIs	NANOG	2/160	1.763493e-01	3.888125e-01	0	0	2.687764e+00	4.664046e+00	PPAN;GTPBP4
Transcription_Factor_PPIs	GLI1	1/41	1.775022e-01	3.888125e-01	0	0	5.283245e+00	9.133527e+00	SAP18
Transcription_Factor_PPIs	IKZF1	1/42	1.814171e-01	3.888125e-01	0	0	5.154126e+00	8.797869e+00	SAP18
Transcription_Factor_PPIs	GATA4	1/42	1.814171e-01	3.888125e-01	0	0	5.154126e+00	8.797869e+00	SUZ12
Transcription_Factor_PPIs	TCOF1	1/44	1.891916e-01	3.888125e-01	0	0	4.913904e+00	8.181626e+00	GPN1
Transcription_Factor_PPIs	BCL3	1/46	1.968931e-01	3.888125e-01	0	0	4.695035e+00	7.629876e+00	PIR
Transcription_Factor_PPIs	RARA	2/175	2.020553e-01	3.888125e-01	0	0	2.452856e+00	3.922641e+00	SUZ12;TOP2B
Transcription_Factor_PPIs	RNF2	2/175	2.020553e-01	3.888125e-01	0	0	2.452856e+00	3.922641e+00	SUZ12;OGT
Transcription_Factor_PPIs	PML	2/178	2.072508e-01	3.888125e-01	0	0	2.410679e+00	3.793989e+00	SUZ12;TOP2B
Transcription_Factor_PPIs	STAT2	1/50	2.120795e-01	3.888125e-01	0	0	4.310899e+00	6.685316e+00	FNTA
Transcription_Factor_PPIs	NFATC1	1/50	2.120795e-01	3.888125e-01	0	0	4.310899e+00	6.685316e+00	OGT
